Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
159,Ching-Hsien Ko,"OF,UT",LAD,19,179,20,2024,2028,,9,*06oh1*
160,Emil Morales,SS,LAD,18.9,127,-33,2024,2027,,9,*06ibo*
161,Kevin Alcantara,OF,CHC,23.1,139,-22,2018,Debuted,Y,9,*04qow*
162,Tyson Hardin,P,MIL,23.7,110,-52,2024,2026,,9,*06qng*
163,Joshua Baez,OF,STL,22.1,131,-32,2021,2026,,9,*05rcf*
164,Luke Adams,"1B,3B",MIL,21.3,149,-15,2022,2026,Y,9,*06582*
165,David Davalillo,P,TEX,22.9,153,-12,2022,2026,Y,9,*06mio*
166,Nate George,OF,BAL,19.2,288,122,2024,2028,Y,9,*06qr6*
167,Gavin Kilen,SS,SF,21.4,NR,NA,2025,2027,,9,*05yd3*
168,Jace Laviolette,OF,CLE,21.7,NR,NA,2025,2027,,9,*067zb*
169,Cooper Ingle,C,CLE,23.5,136,-33,2023,2026,Y,9,*06f0p*
170,Joe Mack,C,MIA,22.6,137,-33,2021,2026,Y,9,*05rcd*
171,George Klassen,P,LAA,23.5,88,-83,2023,2025,Y,9,*067xm*
172,Xavier Neyens,3B,HOU,18.8,NR,NA,2025,2028,,9,*05yak*
173,Juneiker Caceres,OF,CLE,18,178,5,2024,2028,,9,*06mmx*
174,Devin Taylor,OF,ATH,21.6,NR,NA,2025,2026,,9,*06c0z*
175,Jared Thomas,OF,COL,22.1,141,-34,2024,2026,,9,*06mpb*
176,Kendry Rojas,P,MIN,22.7,412,236,2020,2026,Y,9,*05rgq*
177,Alex Clemmey,P,WSH,20.1,165,-12,2023,2026,Y,9,*06bfu*
178,Dasan Hill,P,MIN,19.6,144,-34,2024,2027,,9,*06mnh*
179,Mick Abel,P,MIN,24,145,-34,2020,Debuted,Y,9,*05g4k*
180,Connelly Early,P,BOS,23.4,146,-34,2023,2025,Y,9,*06f1r*
181,Christian Oppor,P,CHW,21,147,-34,2023,2027,,9,*06f1q*
182,Quentin Young,SS,MIN,18.4,NR,NA,2025,2028,,9,*05yat*
183,Kayson Cunningham,SS,ARI,19.1,NR,NA,2025,2028,,9,*067z9*
184,Josh Hammond,P,KC,18.9,NR,NA,2025,2028,,9,*06cqi*
185,Daniel Pierce,SS,TB,19,NR,NA,2025,2028,,9,*06se8*
186,Jackson Ferris,P,LAD,21.6,168,-18,2022,2026,,9,*05u6g*
187,Cade Cavalli,P,WSH,27,150,-37,2020,Debuted,,9,*05gef*
188,Kohl Drake,P,ARI,25.1,161,-27,2022,2025,Y,9,*066m0*
189,Esteban Mejia,P,BAL,18.4,183,-6,2024,2027,,9,*06jfn*
190,Jose Urbina,P,TB,19.8,182,-8,2023,2027,Y,9,*069xw*
191,Jonathon Long,1B,CHC,23.6,229,38,2023,2025,Y,9,*06fwm*
192,Brandon Winokur,"SS,OF",MIN,20.6,249,57,2023,2026,Y,9,*06dnc*
193,Andrew Fischer,3B,MIL,21.2,NR,NA,2025,2026,,9,*06k7t*
194,Brailer Guerrero,OF,TB,19.1,156,-38,2023,2027,Y,10,*066mz*
195,Zac Veen,OF,COL,23.7,157,-38,2020,Debuted,Y,10,*05gbg*
196,Tanner McDougal,P,CHW,22.3,258,62,2021,2026,Y,10,*05xpj*
197,Braden Nett,P,ATH,23.1,124,-73,2022,2025,Y,10,*066a6*
198,Yohendrick Pinango,OF,TOR,23.3,221,23,2018,2025,Y,10,*04z8z*
199,Blake Mitchell,C,KC,21,152,-47,2023,2026,Y,10,*05y3q*
200,Juan Valera,P,BOS,19.2,162,-38,2023,2027,Y,10,*06mlb*
201,Ethan Dorchies,P,MIL,18.8,256,55,2024,2027,,10,*06quu*
202,Josh Owens,SS,TEX,18.6,NR,NA,2025,2028,,10,*06vxu*
203,Max Anderson,2B,DET,23.4,224,21,2023,2026,Y,10,*06dmp*
204,Hao-Yu Lee,2B,DET,22.5,245,41,2021,2025,Y,10,*05u2k*
205,Edgar Montero,SS,ATH,18.7,480,275,2024,2029,,10,*06icg*
206,Ben Hess,P,NYY,22.9,184,-22,2024,2026,,10,*066iq*
207,Jack Wenninger,P,NYM,23.4,205,-2,2023,2026,,10,*06f1c*
208,Gary Gill Hill,P,TB,20.9,166,-42,2022,2026,Y,10,*064o6*
209,Dean Curley,SS,CLE,21.3,NR,NA,2025,2027,,10,*06ksc*
210,Wehiwa Aloy,2B,BAL,21.5,NR,NA,2025,2027,,10,*06c7b*
211,Brandon Compton,OF,MIA,21.8,NR,NA,2025,2027,,10,*06mhy*
212,David Sandlin,P,BOS,24.5,214,2,2022,2026,Y,10,*062pn*
213,Ty Johnson,P,TB,23.9,200,-13,2023,2026,Y,10,*06htl*
214,Jonathan Santucci,P,NYM,22.6,265,51,2024,2026,,10,*060ue*
215,Connor Prielipp,P,MIN,24.6,181,-34,2022,2025,Y,10,*05joq*
216,Rafael Flores,"C,1B",PIT,24.8,176,-40,2022,2025,Y,10,*06f0k*
217,Bryce Meccage,P,MIL,19.4,235,18,2024,2026,Y,10,*06mnf*
218,Argenis Cayama,P,SF,18.9,239,21,2024,2028,,10,*06kru*
219,Trevor Harrison,P,TB,20,277,58,2023,2027,Y,10,*06f1o*
