Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
164,8,Chase Davis,STL,OF,2023,2025,23.1,166,2,,*05jrf*,
165,8,Ryan Waldschmidt,ARI,OF,2024,2026,22.3,153,-12,,*06dlz*,
166,8,Yophery Rodriguez,MIL,OF,2023,2026,19.1,145,-21,,*066mq*,Y
167,8,Alfredo Duno,CIN,C,2023,2026,19,178,11,UP,*06626*,
168,8,Ryan Sloan,SEA,P,2024,2027,19,157,-11,,*06ier*,
169,8,Jhonny Severino,PIT,"3B,SS",2022,2027,20.2,161,-8,,*05yim*,Y
170,8,Josh Kasevich,TOR,SS,2022,2025,24,752,582,,*060if*,
171,8,Jared Serna,MIA,SS,2019,2025,22.6,163,-8,UP,*062jx*,Y
172,8,Alex Freeland,LAD,SS,2022,2026,23.4,164,-8,,*05xu1*,
173,8,Kohl Drake,TEX,P,2022,2025,24.5,174,1,,*066m0*,Y
174,8,Trevor Harrison,TB,P,2023,2027,19.4,257,83,,*06f1o*,Y
175,8,Braylon Doughty,CLE,P,2024,2027,19.1,221,46,,*06kk6*,
176,8,Jurrangelo Cijntje,SEA,P,2024,2026,21.6,170,-6,,*060m8*,
177,8,Cam Caminiti,ATL,P,2024,2026,18.4,171,-6,,*062e0*,Y
178,8,Adam Mazur,MIA,P,2022,Debuted,23.7,172,-6,,*060gg*,
179,8,Luis Merejo,CLE,1B,2023,2027,18.5,151,-28,,*06awf*,
180,8,Harry Ford,SEA,C,2021,2025,21.9,194,14,UP,*05raw*,Y
181,8,James Tibbs,SF,OF,2024,2025,22.3,190,9,,*066ir*,
182,8,David Sandlin,BOS,P,2022,2025,23.9,189,7,,*062pn*,Y
183,8,Ty Johnson,TB,P,2023,2025,23.3,203,20,,*06htl*,Y
184,8,Yanquiel Fernandez,COL,OF,2019,2025,22,165,-19,DOWN,*05g3k*,
185,8,Luis Baez,HOU,OF,2022,2026,21,105,-80,,*060fy*,Y
186,9,Nestor German,BAL,P,2023,2026,22.9,272,86,,*06gjv*,
187,9,K.C. Hunt,MIL,P,2022,2025,24.5,183,-4,,*066b3*,
188,9,Brandon Winokur,MIN,"SS,OF",2023,2026,20.1,233,45,,*06dnc*,Y
189,9,Nolan McLean,NYM,"UT,P",2023,2025,23.5,185,-4,,*05y7s*,
190,9,Justin Wrobleski,LAD,P,2021,Debuted,24.5,186,-4,,*05y9r*,
191,9,Enrique Bradfield Jr.,BAL,OF,2023,2025,23.1,234,43,,*05jre*,Y
192,9,Winston Santos,TEX,P,2019,2025,22.8,254,62,,*061lj*,Y
193,9,Yorger Bautista,SEA,OF,2025,2029,17.3,NR,NA,,*06ps3*,
194,9,Cris Rodriguez,DET,OF,2025,2029,17,NR,NA,,*06ps4*,
195,9,Tyson Lewis,CIN,SS,2024,2027,19,196,1,,*06mnk*,
196,9,Theo Gillen,TB,OF,2024,2027,19.3,198,2,,*05u2m*,Y
197,9,Gino Groover,ARI,3B,2023,2025,22.7,191,-6,,*05yj5*,Y
198,9,Luis Pena,MIL,SS,2024,2028,18.2,192,-6,,*06j3f*,
199,9,Wyatt Sanford,PIT,SS,2024,2027,19.1,197,-2,,*06mnl*,
200,9,Kellon Lindsey,LAD,SS,2024,2027,19.3,199,-1,,*06kxe*,
201,9,PJ Morlando,MIA,OF,2024,2027,19.7,200,-1,,*06328*,Y
202,9,Tommy Troy,ARI,SS,2023,2026,23,182,-20,,*05jse*,Y
203,9,Yilber Diaz,ARI,P,2021,Debuted,24.4,202,-1,,*06agh*,
204,9,Andrew Morris,MIN,P,2022,2025,23.4,271,67,,*0648r*,
205,9,Hunter Barco,PIT,P,2022,2025,24.1,205,0,,*04nb5*,Y
206,9,Noah Cameron,KC,P,2021,2025,25.5,300,94,,*05ycf*,Y
207,9,Edwin Arroyo,CIN,SS,2021,2026,21.4,169,-38,,*05rcj*,Y
208,9,Jose Corniell,TEX,P,2019,2026,21.6,297,89,,*05gx5*,
209,9,Eiberson Castellano,MIN,P,2021,2025,23.7,209,0,,*06l49*,
210,9,Adrian Del Castillo,ARI,C,2021,Debuted,25.3,210,0,,*05jn0*,
211,9,Miguel Bleis,BOS,OF,2021,2026,20.9,173,-38,,*05m1c*,Y
212,9,Vance Honeycutt,BAL,OF,2024,2026,21.7,212,0,,*062e5*,
213,9,Mike Boeve,MIL,"1B,3B",2023,2025,22.7,236,23,,*06dnb*,
214,9,Mason Barnett,OAK,P,2022,2025,24.2,450,236,,*0630h*,Y
215,9,Roderick Arias,NYY,"2B,SS",2022,2026,20.3,223,8,UP,*05gec*,Y
216,9,Didier Fuentes,ATL,P,2022,2026,19.6,255,39,,*064zm*,Y
217,9,Yoniel Curet,TB,P,2019,2025,22.2,216,-1,,*05uec*,Y
218,9,Jhostynxon Garcia,BOS,OF,2019,2026,22.1,193,-25,,*05j8u*,Y
219,9,J.R. Ritchie,ATL,P,2022,2026,21.6,218,-1,,*05tzo*,Y
220,9,Kendry Rojas,TOR,P,2020,2025,22.1,219,-1,,*05rgq*,Y
221,9,Kash Mayfield,SD,P,2024,2027,19.9,220,-1,,*06lp4*,
222,9,Connor Prielipp,MIN,P,2022,2025,24,380,158,,*05joq*,
223,9,Levi Sterling,PIT,P,2024,2027,18.4,222,-1,,*06hf3*,
224,10,Jack Leiter,TEX,P,2021,Debuted,24.7,188,-36,,*04y9o*,Y
225,10,Dorian Soto,BOS,SS,2025,2029,16.9,NR,NA,,*06qhh*,
226,10,Jeremy Rodriguez,NYM,SS,2023,2027,18.5,224,-2,,*066o8*,
227,10,Chase Petty,CIN,P,2021,2025,21.8,225,-2,,*05raz*,
228,10,Max Acosta,MIA,"2B,SS",2019,2025,22.2,308,80,,*0568a*,Y
229,10,Shay Whitcomb,HOU,SS,2020,Debuted,26.3,227,-2,,*05jqi*,Y
230,10,Yolfran Castillo,TEX,SS,2024,2028,17.9,291,61,,*06icj*,
231,10,Drue Hackenberg,ATL,P,2023,2025,22.8,229,-2,,*062e9*,Y
232,10,Richard Fitts,BOS,P,2021,Debuted,25.1,366,134,,*05rav*,Y
233,10,Tai Peete,SEA,SS,2023,2026,19.4,230,-3,,*06c7i*,
234,10,Druw Jones,ARI,OF,2022,2026,21.1,231,-3,,*05tdk*,
235,10,Carson Whisenhunt,SF,P,2022,2025,24.2,232,-3,,*05y7v*,Y
236,10,Chandler Simpson,TB,OF,2022,2025,24.2,465,229,,*0622w*,Y
237,10,Dylan Beavers,BAL,OF,2022,2025,23.4,181,-56,UP,*05xty*,Y
238,10,Hao-Yu Lee,DET,2B,2021,2025,21.9,235,-3,UP,*05u2k*,Y
239,10,Nacho Alvarez,ATL,3B,2022,Debuted,21.8,207,-32,,*064da*,Y
240,10,Tommy White,OAK,3B,2024,2025,21.9,237,-3,,*05tp7*,Y
241,10,Jean Cabrera,PHI,P,2021,2025,23.2,238,-3,,*05ww7*,
242,10,Jace Jung,DET,"2B,3B",2022,Debuted,24.2,103,-139,UP,*05tzg*,Y
243,10,Joey Cantillo,CLE,P,2017,Debuted,25.1,479,236,,*04eos*,
244,10,Jake Miller,DET,P,2022,2025,23.6,352,108,,*066ch*,Y
245,10,Yassel Soler,ARI,3B,2023,2027,19,243,-2,,*06ciz*,
246,10,Walker Janek,HOU,C,2024,2026,18.3,252,6,,*06kkk*,Y
247,10,Cooper Ingle,CLE,C,2023,2025,22.9,244,-3,,*06f0p*,Y
248,10,Rafael Flores,NYY,"C,1B",2022,2025,24.2,245,-3,,*06f0k*,
249,10,Jimmy Crooks,STL,C,2022,2025,23.5,415,166,,*06434*,Y
250,10,Malcolm Moore,TEX,C,2024,2026,21.5,304,54,,*05y7u*,
251,10,Jhonny Level,SF,SS,2024,2028,17.8,246,-5,,*06ich*,
252,10,Yairo Padilla,STL,SS,2024,2028,17.5,769,517,,*06k81*,
253,10,Bryan Ramos,CHW,3B,2018,Debuted,22.8,247,-6,UP,*059bs*,Y
254,10,Parker Messick,CLE,P,2022,2025,24.2,248,-6,,*05tzn*,
255,10,Jedixson Paez,BOS,P,2021,2026,21,249,-6,,*05xzr*,Y
256,10,Eddie Rynders,PIT,3B,2024,2027,19.2,250,-6,,*06o0f*,
257,10,Brock Wilken,MIL,3B,2023,2026,22.6,251,-6,,*05ubi*,Y
258,10,Yeremi Cabrera,TEX,OF,2022,2027,19.5,177,-81,,*06c3v*,
259,10,Chase Meidroth,CHW,"3B,SS",2022,2025,23.5,331,72,,*0648n*,Y
260,10,Carson DeMartini,PHI,3B,2024,2026,22,253,-7,,*062ec*,
261,10,Michael McGreevy,STL,P,2021,Debuted,24.5,570,309,,*05sr2*,
262,10,Justin Foscue,TEX,2B,2020,Debuted,25.9,208,-54,UP,*05gsg*,Y
263,10,Jose Perdomo,ATL,SS,2024,2027,18.3,211,-52,,*067z8*,
264,10,Chase Hampton,NYY,P,2022,2025,23.4,154,-110,,*05yh3*,Y
265,10,Chayce McDermott,BAL,P,2021,Debuted,26.4,256,-9,,*05uws*,Y
266,10,Dominic Keegan,TB,C,2022,2026,23.5,561,295,UP,*05tde*,
267,10,Gabriel Rincones Jr.,PHI,OF,2022,2025,23.9,240,-27,UP,*0630f*,Y
268,10,George Wolkow,CHW,OF,2023,2026,19,242,-26,,*05u2o*,Y
269,10,Elian Pena,NYM,SS,2025,2029,17.2,NR,NA,,*06m0g*,
270,10,Kevin Alvarez,HOU,OF,2025,2029,17,NR,NA,,*06psn*,
271,10,Luis Cova,MIA,OF,2024,2028,17.9,259,-12,,*06ibu*,
272,10,Tyler Black,MIL,1B,2021,Debuted,24.5,184,-88,UP,*05u2u*,Y
273,10,Zac Veen,COL,OF,2020,2025,23.1,261,-12,,*05gbg*,Y
274,11,Brant Hurter,DET,P,2021,Debuted,26.4,541,267,,*05u6p*,
275,11,Ben Casparius,LAD,P,2021,Debuted,25.9,262,-13,,*05y4k*,Y
276,11,Michael Forret,BAL,P,2023,2026,20.8,497,221,,*06hwt*,Y
277,11,Brett Wichrowski,MIL,P,2023,2026,22.4,264,-13,,*06huh*,
278,11,Robert Gasser,MIL,P,2021,Debuted,25.6,265,-13,,*05u6r*,Y
279,11,Jonathon Long,CHC,1B,2023,2025,23,213,-66,,*06fwm*,Y
280,11,Billy Amick,MIN,3B,2024,2026,22.2,266,-14,,*06cgg*,Y
281,11,Jeter Martinez,SEA,P,2023,2027,18.9,355,74,,*066m6*,
282,11,Mac Horvath,TB,3B,2023,2025,23,195,-87,,*05yha*,Y
283,11,Sean Burke,CHW,P,2021,Debuted,25.1,269,-14,,*05xod*,Y
284,11,Mason Adams,CHW,P,2022,2025,24.9,270,-14,,*06657*,Y
285,11,Rayne Doncon,MIN,SS,2021,2026,21.3,516,231,,*05r6f*,Y
286,11,Yordanny Monegro,BOS,P,2020,2026,22.2,176,-110,,*06c28*,Y
287,11,Hunter Dobbins,BOS,P,2021,2025,25.4,674,387,,*05y6w*,
288,11,Kale Fountain,SD,3B,2024,2027,19.4,274,-14,,*06kka*,
289,11,Luke Dickerson,WSH,SS,2024,2027,19.4,275,-14,,*06mne*,
290,11,JD Dix,ARI,SS,2024,2027,19.3,276,-14,,*066j0*,
291,11,Carter Johnson,MIA,SS,2024,2027,18.9,277,-14,,*06icz*,
292,11,Jonathan Santucci,NYM,P,2024,2026,22,278,-14,,*060ue*,
293,11,Rayner Arias,SF,OF,2023,2026,18.7,346,53,,*066mw*,
294,11,Ricardo Cabrera,CIN,3B,2022,2026,20.2,279,-15,,*05rjo*,
295,11,Mitch Bratt,TEX,P,2021,2025,21.5,280,-15,,*05xq2*,Y
296,11,Samuel Aldegheri,LAA,P,2019,Debuted,23.3,281,-15,,*06aw2*,
297,11,Alex Clemmey,WSH,P,2023,2026,19.5,282,-15,,*06bfu*,Y
298,11,Dylan Lesko,TB,P,2022,2026,21.4,283,-15,,*05tdl*,
299,11,Will Simpson,TB,1B,2023,2025,23.4,285,-14,,*051e0*,
300,11,Will Wagner,TOR,2B,2021,Debuted,26.5,286,-14,UP,*05yhg*,Y
301,11,Michael Kennedy,CLE,P,2022,2026,20.1,287,-14,,*0647m*,Y
302,11,Dakota Jordan,SF,OF,2024,2026,21.7,323,21,,*067yf*,
303,11,Jose Urbina,TB,P,2023,2027,19.2,NR,NA,,*069xw*,
304,11,Aldrin Batista,CHW,P,2022,2026,21.7,522,218,,*06ce9*,Y
305,11,Caleb Bonemer,CHW,SS,2024,2027,19.3,289,-16,,*06hea*,
306,11,Mikey Romero,BOS,SS,2022,2026,21,290,-16,,*05y7y*,Y
307,11,C.J. Culpepper,MIN,P,2022,2025,23.2,383,76,,*065j0*,Y
308,11,Doug Nikhazy,CLE,P,2021,2025,25.4,292,-16,,*05taw*,
309,11,Ben Shields,NYY,P,2023,2026,26,573,264,,*06hf1*,
310,11,Blade Tidwell,NYM,P,2022,2025,23.6,294,-16,,*05u2q*,
311,11,Edgardo Henriquez,LAD,P,2019,Debuted,22.6,295,-16,,*05w7z*,
312,11,Ian Seymour,TB,P,2020,2025,26.1,365,53,,*05jpd*,
313,11,Brandyn Garcia,SEA,P,2023,2025,24.6,296,-17,,*06guh*,
