Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Austin Gomber","COL",7,12,11,5.52309,29,29,0,0,,167,732,197,112,102,29,46,,7,116,6.26088,2.50615,2.4982,1.543,0.158624,0.0634954,0.09512895345687866,0.290031,1.45708,0.31507,0.646488,,,4.96923,1.091,0.576101,750.5999755859375,,,,,,,439.89999999999986,2.634131736526945,531,3.179640718562874,,,,,,,,,,,,,,,,,,,"Austin Gomber","16561",596295
"Jeff Hoffman","TOR",3,3,0,2.97324,65,0,26,4,,65,269,48,23,21,7,24,,3,79,11.0001,3.31961,3.31368,0.985199,0.295772,0.089258,0.2065143585205078,0.199751,1.11176,0.265318,0.783442,,,3.38454,1.08875,1.62733,103.2300033569336,,,,,,,493.09999999999997,7.586153846153846,457,7.030769230769231,,,,,,,,,,,,,,,,,,,"Jeff Hoffman","17432",656546
"Zebby Matthews","MIN",2,2,7,3.80179,39,11,0,1,,91,381,86,42,38,12,20,,4,86,8.5497,1.98382,4.3097,1.21983,0.226668,0.0525947,0.17407286912202835,0.242075,1.17195,0.286795,0.723454,,,3.80942,1.08527,1.00317,407.2300109863281,,,,,,,406.19999999999993,4.463736263736263,403,4.428571428571429,,,,,,,,,,,,,,,,,,,"Zebby Matthews","31827",805673
"Rhett Lowder","CIN",3,4,9,4.73952,42,18,0,1,,123,532,128,71,65,17,44,,6,95,6.96083,3.19869,2.17615,1.21237,0.178927,0.0822218,0.0967051163315773,0.264344,1.39212,0.299302,0.678792,,,4.5731,1.07048,0.80493,440.42999267578125,,,,,,,412.3,3.3520325203252033,438,3.5609756097560976,,,,,,,,,,,,,,,,,,,"Rhett Lowder","33876",695076
"Matt Strahm","PHI",4,3,0,3.28436,67,0,3,12,,67,272,53,27,24,9,19,,3,79,10.5821,2.58495,4.09375,1.16466,0.289688,0.0707634,0.21892445534467697,0.213744,1.0846,0.275414,0.759348,,,3.48196,1.06156,1.21596,515.6599731445312,,,,,,,402.2999999999999,6.004477611940297,373,5.567164179104478,,,,,,,,,,,,,,,,,,,"Matt Strahm","13799",621381
"Bryan Abreu","HOU",4,4,0,3.14498,72,0,2,14,,72,299,54,27,25,8,30,,3,92,11.4507,3.76569,3.04079,0.959578,0.306677,0.100854,0.2058226615190506,0.203078,1.16658,0.2783,0.771556,,,3.40139,1.04645,1.44244,474.510009765625,,,,,,,445.0000000000001,6.180555555555557,407,5.652777777777778,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Aroldis Chapman","BOS",3,3,0,3.13033,64,0,12,9,,64,268,45,24,22,6,36,,3,90,12.6149,4.99572,2.52514,0.788432,0.334954,0.132648,0.20230606198310852,0.194795,1.25219,0.291709,0.772259,,,3.31983,1.04059,1.5271,294.3999938964844,,,,,,,441.79999999999995,6.903124999999999,401,6.265625,,,,,,,,,,,,,,,,,,,"Aroldis Chapman","10233",547973
"Justin Martinez","ARI",4,3,0,3.08176,68,0,19,8,,68,286,52,25,23,4,36,,3,83,11.0014,4.81842,2.2832,0.540014,0.291043,0.127471,0.1635712832212448,0.211339,1.29922,0.301829,0.761366,,,3.25886,1.03687,1.7429,211.74000549316406,,,,,,,494.8,7.276470588235294,464,6.823529411764706,,,,,,,,,,,,,,,,,,,"Justin Martinez","24453",679885
"Chase Dollander","COL",5,6,7,4.65837,16,16,0,0,,93,412,90,53,48,13,44,,5,96,9.23828,4.26908,2.164,1.27125,0.232029,0.107222,0.12480666488409042,0.248061,1.44166,0.302391,0.704498,,,4.52297,1.0259,1.13647,999,,,,,,,339.30000000000007,3.6483870967741945,341,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Chase Dollander","sa3023361",801403
"Lance McCullers Jr.","HOU",0,0,7,3.65625,39,11,0,1,,96,403,82,44,39,11,39,,4,98,9.1875,3.65625,2.51282,1.03125,0.243176,0.0967742,0.14640197902917862,0.227778,1.26042,0.282869,0.729167,,,3.95815,1.02271,1.08087,688.6300048828125,,,,,,,432.90000000000015,4.509375000000001,408,4.25,,,,,,,,,,,,,,,,,,,"Lance McCullers Jr.","14120",621121
